set,frame,closed_by_labeler,aspect,centre_off,min_conf,opening_px
1_20251031_Pluto_spont_1/training-data/labels/test50,img066915.png,False,5.07942008972168,4.365614907634672,0.13420751690864563,348.7060546875
1_20251031_Pluto_spont_1/training-data/labels/test50,img067061.png,False,0.5691326856613159,0.0738328161338857,0.19479653239250183,160.69606018066406
1_20251031_Pluto_spont_1/training-data/labels/test50,img067208.png,False,0.10546398162841797,3.7981966990713696,0.226582333445549,627.2061157226562
1_20251031_Pluto_spont_1/training-data/labels/test50,img067354.png,False,1.5692119598388672,4.065086240630926,0.17324334383010864,343.6595764160156
1_20251031_Pluto_spont_1/training-data/labels/test50,img067501.png,False,1.4804649353027344,4.087717567870711,0.2116452157497406,330.6516418457031
1_20251031_Pluto_spont_1/training-data/labels/test50,img067647.png,False,0.2090846598148346,0.8778559493785422,0.13518795371055603,627.3317260742188
1_20251031_Pluto_spont_1/training-data/labels/test50,img067793.png,False,0.4092114567756653,3.485071378390126,0.17817042768001556,625.9228515625
1_20251031_Pluto_spont_1/training-data/labels/test50,img067940.png,False,1.6823927164077759,4.5578052113556575,0.2155320644378662,625.2784423828125
1_20251031_Pluto_spont_1/training-data/labels/test50,img068086.png,False,0.4159701466560364,3.4352703792388897,0.22053714096546173,627.0645751953125
1_20251031_Pluto_spont_1/training-data/labels/test50,img068233.png,False,0.050447408109903336,0.7134520877772075,0.35330823063850403,361.66900634765625
1_20251031_Pluto_spont_1/training-data/labels/test50,img068379.png,False,0.2640947699546814,4.168379053755817,0.19538509845733643,619.4244995117188
1_20251031_Pluto_spont_1/training-data/labels/test50,img068526.png,False,0.047230154275894165,1.1147623029594362,0.36857113242149353,240.70347595214844
1_20251031_Pluto_spont_1/training-data/labels/test50,img068672.png,False,0.2108021080493927,4.077388513668572,0.412700355052948,352.1419372558594
1_20251031_Pluto_spont_1/training-data/labels/test50,img068818.png,False,0.09925246983766556,1.1175474474168803,0.3323383629322052,349.76031494140625
1_20251031_Pluto_spont_1/training-data/labels/test50,img068965.png,False,0.13136093318462372,1.074197200355474,0.24964196979999542,619.826904296875
1_20251031_Pluto_spont_1/training-data/labels/test50,img069111.png,False,0.16978777945041656,1.0229096686051304,0.3202325105667114,357.63720703125
