shuffle,test_unit,model_idx,model_unit,mouse,date,step,labels_this_video,total_labels,median_frame_rmse_px,p90_frame_rmse_px,frac_frames_rmse_gt_50px,frac_points_conf_ge_0.6,median_pupil_top_px,median_pupil_bottom_px,median_pupil_left_px,median_pupil_right_px,median_eyelid_top_px,median_eyelid_bottom_px,median_eye_nasal_corner_px,median_eye_temporal_corner_px
212,3_20251031_pluto3,6.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,2.0,40.0,140.0,107.15,181.72,0.62,0.445,288.41,5.09,12.36,2.88,3.32,4.3,3.13,4.13
213,0_first5minvedio,7.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,3.0,60.0,160.0,12.38,18.99,0.0,0.95,12.62,4.75,9.18,5.92,12.26,5.15,15.75,10.84
213,1_20251031_Pluto_spont_1,7.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,3.0,60.0,160.0,11.35,19.66,0.02,0.745,12.71,4.96,12.26,3.73,6.75,4.24,12.45,11.06
213,2_20251031_pluton2,7.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,3.0,60.0,160.0,11.76,109.45,0.2,0.67,19.23,2.34,5.43,3.27,6.07,1.23,5.35,5.72
213,3_20251031_pluto3,7.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,3.0,60.0,160.0,14.47,177.29,0.34,0.53,21.69,4.65,7.17,1.79,2.1,4.3,1.64,4.48
214,0_first5minvedio,8.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,4.0,80.0,180.0,12.5,18.58,0.0,0.93,11.74,4.11,8.24,5.27,11.27,5.57,16.32,10.76
214,1_20251031_Pluto_spont_1,8.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,4.0,80.0,180.0,11.59,19.78,0.0,0.815,10.89,5.43,12.6,3.33,7.48,5.74,12.11,11.32
214,2_20251031_pluton2,8.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,4.0,80.0,180.0,9.98,88.33,0.2,0.673,17.83,1.83,4.87,2.37,4.72,1.26,3.87,5.58
214,3_20251031_pluto3,8.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,4.0,80.0,180.0,13.29,104.06,0.14,0.603,28.42,3.1,3.27,2.07,4.0,4.06,2.05,3.2
225,0_first5minvedio,9.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,5.0,100.0,200.0,12.26,18.71,0.0,0.957,11.15,4.2,7.91,5.33,12.4,5.75,14.81,10.18
